iteration,mean_reward,level
40000,-5.977683020000001,0
80000,-3.67296872,0
160000,-3.0198271799999996,0
200000,-2.7509266199999995,0
280000,-1.09019554,0
320000,-1.09019554,0
400000,2.40054372,0
440000,2.40054372,0
480000,4.09948066,0
560000,5.347628739999999,0
600000,5.347628739999999,0
680000,5.347628739999999,0
720000,5.347628739999999,0
800000,5.347628739999999,0
840000,5.347628739999999,0
880000,5.347628739999999,1
960000,5.347628739999999,1
1000000,5.347628739999999,1
1080000,5.347628739999999,1
1120000,5.347628739999999,1
1200000,5.347628739999999,2
1240000,5.6193953599999995,2
1280000,5.6193953599999995,2
1360000,5.6193953599999995,2
1400000,5.6193953599999995,2
1480000,5.6193953599999995,2
1520000,5.844075520000001,2
1600000,6.98120394,2
1640000,6.98120394,2
1720000,6.98120394,2
1760000,6.98120394,2
1800000,6.98120394,2
1880000,6.98120394,2
1920000,6.98120394,3
2000000,6.98120394,3
2040000,6.98120394,3
2120000,6.98120394,3
2160000,6.98120394,3
2200000,6.98120394,4
2280000,6.98120394,4
2320000,6.98120394,4
2400000,6.98120394,4
2440000,6.98120394,4
2520000,6.98120394,5
2560000,6.98120394,5
2600000,6.98120394,5
2680000,10.6278118,5
2720000,10.6278118,5
2800000,10.6278118,5
2840000,10.6278118,5
2920000,10.6278118,5
2960000,10.6278118,5
3000000,10.6278118,6
3080000,11.563891059999998,6
3120000,11.563891059999998,6
3200000,11.563891059999998,6
3240000,11.563891059999998,6
3320000,11.563891059999998,6
3360000,11.563891059999998,6
3440000,12.60115518,6
3480000,12.60115518,6
3520000,12.60115518,6
3600000,12.60115518,6
3640000,12.60115518,6
3720000,12.60115518,6
3760000,12.60115518,6
3840000,12.60115518,6
3880000,12.60115518,6
3920000,12.60115518,6
4000000,12.60115518,6
4040000,12.60115518,6
4120000,12.60115518,6
4160000,12.60115518,6
4240000,12.60115518,6
4280000,12.60115518,6
4320000,12.60115518,6
4400000,12.60115518,6
4440000,12.60115518,6
4520000,12.60115518,6
4560000,12.60115518,6
