iteration,level,test_reward,test_episode_length,test_successful
40000,9,-2.5253337776245184,235,False
40000,9,-2.6232972917207356,234,False
40000,9,-2.605367967217582,235,False
40000,9,-2.5694096129983977,234,False
40000,9,-2.3322065598868793,235,False
40000,9,-5.721332699864615,239,False
40000,9,-3.4276832977277176,235,False
40000,9,-6.759274292600817,246,False
40000,9,-7.72191599343754,278,False
40000,9,-5.656675882119261,238,False
40000,9,-5.968805976891564,239,False
40000,9,-5.828705159689443,242,False
40000,9,-6.194530472336063,245,False
40000,9,-2.5987603840638123,234,False
40000,9,-2.731086044660856,235,False
40000,9,-3.570248420152711,235,False
40000,9,-5.905376831031109,240,False
40000,9,-2.08368008544305,236,False
40000,9,-7.254680537553904,285,False
40000,9,-7.734918641587952,284,False
40000,9,-5.976204994875023,239,False
40000,9,-2.4966220768795004,234,False
40000,9,-2.538381578199393,234,False
40000,9,-7.05137248542082,283,False
40000,9,-2.4158006234954645,235,False
40000,9,-6.497125347294464,267,False
40000,9,-2.5415844079590717,236,False
40000,9,-7.183462182683318,282,False
40000,9,-6.193777786274258,235,False
40000,9,-2.6056321497102264,235,False
40000,9,-5.955435893722228,237,False
40000,9,-2.4888485005591203,234,False
40000,9,-6.769891777209573,260,False
40000,9,-3.7484478334759466,237,False
40000,9,-2.7266906633542165,234,False
40000,9,-6.0824336886334605,245,False
40000,9,-3.4547598673838458,235,False
40000,9,-6.1904169293608735,235,False
40000,9,-6.022255625788588,242,False
40000,9,-6.784503234877873,250,False
40000,9,-6.29272796766417,247,False
40000,9,-6.673460587265653,247,False
40000,9,-3.8101535417199157,236,False
40000,9,-2.7049830423000834,235,False
40000,9,-7.089045359561711,281,False
40000,9,-6.213784326616334,257,False
40000,9,-6.154296417687599,248,False
40000,9,-2.6528231918695186,236,False
40000,9,-7.110388080248288,281,False
40000,9,-2.483853369953197,235,False
100000,9,-0.31080440467475356,431,False
100000,9,-3.911275801005627,468,False
100000,9,-7.527008121462079,328,False
100000,9,-7.592686055993935,465,False
100000,9,-3.7063707859329007,463,False
100000,9,-0.7943726632078851,445,False
100000,9,-7.424884825284689,407,False
100000,9,-0.6877768191616499,434,False
100000,9,-7.04205578355932,283,False
100000,9,-7.136653649089869,359,False
100000,9,-6.900825753436989,288,False
100000,9,-1.8209114679452494,485,False
100000,9,-0.6793688466865863,478,False
100000,9,-6.645364325246816,236,False
100000,9,-4.4828086994471645,746,False
100000,9,-7.176975213805605,318,False
100000,9,-1.483729282538286,459,False
100000,9,-1.7414334184883205,428,False
100000,9,-0.1483938984211869,488,False
100000,9,-0.5826453386307975,436,False
100000,9,-7.241391523165479,300,False
100000,9,-6.692984091780106,302,False
100000,9,-0.8458781725721874,486,False
100000,9,-7.2008332908261155,305,False
100000,9,-7.208847595584544,367,False
100000,9,-4.265608020773106,435,False
100000,9,-6.709762884334117,231,False
100000,9,-3.4443943588834207,481,False
100000,9,-0.5220557319381742,485,False
100000,9,-7.007350615088821,389,False
100000,9,-0.9249733131433691,439,False
100000,9,-4.307173756041989,463,False
100000,9,-0.7764674712021495,478,False
100000,9,-3.858608456075948,476,False
100000,9,-0.998177556221043,461,False
100000,9,-7.0214068015011915,268,False
100000,9,-1.3469204441187734,439,False
100000,9,-0.7242270835366676,468,False
100000,9,-2.717277366169953,456,False
100000,9,-3.8123639077076867,438,False
100000,9,-4.2727618258676285,425,False
100000,9,-4.009578129294435,468,False
100000,9,-6.8486786868941,260,False
100000,9,-7.079103470737113,314,False
100000,9,-7.404024031837272,368,False
100000,9,-7.058529256667196,314,False
100000,9,-4.527915375942191,468,False
100000,9,-0.9337567714603733,479,False
100000,9,-6.67989253927413,260,False
100000,9,0.05953902843078572,471,False
160000,9,-6.237827600774422,369,False
160000,9,-7.380196004038931,417,False
160000,9,-6.192276841974056,368,False
160000,9,-6.282252895465968,397,False
160000,9,-6.972079782044953,403,False
160000,9,-5.874963939162633,368,False
160000,9,-6.239806173457745,400,False
160000,9,-6.997957639157826,389,False
160000,9,-6.215766910201824,404,False
160000,9,-7.036310061061851,382,False
160000,9,-6.439414488335068,399,False
160000,9,-7.161460089715161,405,False
160000,9,-6.397602917397844,414,False
160000,9,-5.8275113531190925,376,False
160000,9,-7.125054881053337,396,False
160000,9,-6.426321914472888,409,False
160000,9,-6.344836599730222,409,False
160000,9,-6.5834151434410355,418,False
160000,9,-7.279144926017878,409,False
160000,9,-6.309277124620177,394,False
160000,9,-5.8261149198022135,386,False
160000,9,-5.920178713095276,400,False
160000,9,-6.253990641212026,377,False
160000,9,-6.767002820515447,375,False
160000,9,-7.425372310041505,424,False
160000,9,-7.750533217802408,419,False
160000,9,-5.667309110960826,412,False
160000,9,-6.6902560634111845,412,False
160000,9,-7.687865462789258,418,False
160000,9,-7.029923953739466,379,False
160000,9,-6.655215214261858,394,False
160000,9,-6.27636996067228,380,False
160000,9,-6.173398526510329,375,False
160000,9,-5.75834139606772,360,False
160000,9,-7.616970918875358,434,False
160000,9,-5.95713425838472,404,False
160000,9,-7.6683403678000195,415,False
160000,9,-7.33359565571876,414,False
160000,9,-6.27524563625937,384,False
160000,9,-7.178959680070557,406,False
160000,9,-7.447967882303255,432,False
160000,9,-6.225806526164907,377,False
160000,9,-6.1620803882561965,361,False
160000,9,-6.3249621741944955,411,False
160000,9,-6.672278741679053,415,False
160000,9,-7.4665809157861585,427,False
160000,9,-7.59442650760994,414,False
160000,9,-7.102131389143494,394,False
160000,9,-5.982399004690448,366,False
160000,9,-6.1823603596849654,412,False
220000,9,-5.659607306953006,340,False
220000,9,-6.134084250711579,386,False
220000,9,-6.504693995575028,397,False
220000,9,-5.744936711766005,363,False
220000,9,-5.790867632892329,356,False
220000,9,-5.819647100980583,385,False
220000,9,-5.787362058886159,362,False
220000,9,-6.865153570249355,427,False
