iteration,level,test_reward,test_episode_length,test_successful
40000,0,-2.8546989100522397,268,False
40000,0,-2.890213846219548,267,False
40000,0,-6.01123717906351,273,False
40000,0,-5.982639343256132,271,False
40000,0,-6.752399258601903,276,False
40000,0,-6.412030276792827,276,False
40000,0,-6.779570093632074,277,False
40000,0,-3.5194359403960114,268,False
40000,0,-6.271349510234501,280,False
40000,0,-2.7195803983458364,269,False
40000,0,-6.929614205809546,277,False
40000,0,-5.969845065697486,275,False
40000,0,-2.7751231547709194,268,False
40000,0,-3.575089718653683,268,False
40000,0,-6.031497479707378,274,False
40000,0,-6.774300148425553,276,False
40000,0,-3.6847989605170772,268,False
40000,0,-6.122568505243763,273,False
40000,0,-6.256676099134809,269,False
40000,0,-2.7837636023528227,268,False
40000,0,-6.048974522999108,271,False
40000,0,-6.198598880605348,268,False
40000,0,-6.197645749042201,271,False
40000,0,-2.7986092536987908,267,False
40000,0,-3.7755139456679903,268,False
40000,0,-3.6774182292464648,268,False
40000,0,-5.836079658045373,273,False
40000,0,-6.621316160703598,277,False
40000,0,-5.8178817013096475,273,False
40000,0,-2.876879835881696,267,False
40000,0,-5.959192142709476,271,False
40000,0,-6.173049443037134,268,False
40000,0,-6.071134443115824,273,False
40000,0,-5.514961633510815,274,False
40000,0,-6.015301454369666,274,False
40000,0,-3.613231422561243,268,False
40000,0,-2.732901182304884,267,False
40000,0,-6.086853248935755,273,False
40000,0,-6.343363157952438,268,False
40000,0,-3.6771553371388777,268,False
40000,0,-6.26105786189937,268,False
40000,0,-3.6490674791010242,268,False
40000,0,-5.966889019360228,275,False
40000,0,-2.7738539068179286,267,False
40000,0,-5.980998312727582,272,False
40000,0,-5.791021596041374,274,False
40000,0,-6.33062095317656,280,False
40000,0,-6.574409736776383,278,False
40000,0,-6.463924718984893,278,False
40000,0,-2.680909079203582,267,False
100000,0,-5.941895230084397,271,False
100000,0,-6.700662296655602,277,False
100000,0,-2.688817409541751,268,False
100000,0,-6.037333864835217,270,False
100000,0,-2.766672066970179,268,False
100000,0,-5.835443994469601,273,False
100000,0,-6.129121383892834,275,False
100000,0,-2.72365676243911,267,False
100000,0,-2.73704133181858,267,False
100000,0,-2.729070885502641,268,False
100000,0,-2.710479414709255,268,False
100000,0,-6.118150524956061,268,False
100000,0,-2.702503581956268,267,False
100000,0,-6.259361905679974,275,False
100000,0,-6.714394742992403,277,False
100000,0,-6.093940999850836,275,False
100000,0,-2.6838198121570414,267,False
100000,0,-6.151454539735731,268,False
100000,0,-5.917622099726555,274,False
100000,0,-6.29498378873453,278,False
100000,0,-2.823148547885669,267,False
100000,0,-6.339748202664818,269,False
100000,0,-3.524123995089993,268,False
100000,0,-6.748309260325261,276,False
100000,0,-6.105907279642568,273,False
100000,0,-2.9608860221626645,267,False
100000,0,-3.710027999881471,269,False
100000,0,-3.7185714044668594,268,False
100000,0,-6.235908249762356,268,False
100000,0,-3.7215251826185956,269,False
100000,0,-2.753739115876171,268,False
100000,0,-2.621412421594565,268,False
100000,0,-5.833522865523945,274,False
100000,0,-6.121773268671914,271,False
100000,0,-5.989618177227419,271,False
100000,0,-6.26704064349744,279,False
100000,0,-2.811180762230409,268,False
100000,0,-6.493033643140523,279,False
100000,0,-2.7281445137452214,268,False
100000,0,-6.938180267876925,276,False
100000,0,-6.113143531355616,272,False
100000,0,-6.63839724709183,277,False
100000,0,-3.758302951297501,269,False
100000,0,-3.734172365447751,269,False
100000,0,-6.863582694201092,277,False
100000,0,-3.7847909549716894,268,False
100000,0,-6.917998823806204,276,False
100000,0,-6.675756734020912,276,False
100000,0,-5.954017054787958,272,False
100000,0,-2.641598328934916,267,False
160000,0,-3.788412272522682,270,False
160000,0,-2.5021509683215273,343,False
160000,0,-4.176801917262933,349,False
160000,0,-3.3995219190172596,269,False
160000,0,-2.863968655661057,268,False
160000,0,-3.657337695217114,271,False
160000,0,-2.743109580491989,267,False
160000,0,-3.846768358261972,269,False
160000,0,-2.6125261796905237,349,False
160000,0,-3.773823939423855,269,False
160000,0,-3.6327229426079133,278,False
160000,0,-2.7470068377479326,268,False
160000,0,-6.402651446142222,281,False
160000,0,-2.6836433793981254,268,False
160000,0,-3.64230408146203,270,False
160000,0,-6.3311263196043726,281,False
160000,0,-2.860129028922353,341,False
160000,0,-2.7523635181843913,269,False
160000,0,-2.6759727453747004,269,False
160000,0,-2.698999232725987,268,False
160000,0,-3.894703397239573,269,False
160000,0,-2.588238310448154,268,False
160000,0,-2.861911085472872,325,False
160000,0,-2.959667752604327,339,False
160000,0,-3.584815787085443,270,False
160000,0,-2.9755389279283815,346,False
160000,0,-2.6389686471398917,345,False
160000,0,-2.8225629409922623,310,False
160000,0,-2.656572533833014,268,False
160000,0,-4.281861019241359,347,False
160000,0,-2.9983087080974746,348,False
160000,0,-2.458022854229509,268,False
160000,0,-2.79813168156939,271,False
160000,0,-3.5400149903850853,269,False
160000,0,-3.8370209358655174,349,False
160000,0,-3.892806502164155,270,False
160000,0,-6.345234976407338,280,False
160000,0,-3.0050874281051216,350,False
160000,0,-3.678926433827785,269,False
160000,0,-3.771726431044108,269,False
160000,0,-3.8140003351097103,351,False
160000,0,-2.7639002894447247,348,False
160000,0,-6.254224642661507,281,False
160000,0,-3.7573471745026796,349,False
160000,0,-2.8167906753130314,326,False
160000,0,-2.7644192089198056,326,False
160000,0,-6.165746908772955,281,False
160000,0,-6.4397789141971895,281,False
160000,0,-2.7736507811493447,318,False
160000,0,-3.0932834725483085,329,False
220000,0,-3.731479741578511,348,False
220000,0,-2.587130520954518,348,False
220000,0,-3.8455985843183496,270,False
220000,0,-2.736943000455941,347,False
220000,0,-2.7391836157825558,285,False
220000,0,-3.168256689332227,347,False
220000,0,-2.8502977326165855,347,False
220000,0,-3.849733142336721,328,False
220000,0,-2.825656793483908,347,False
220000,0,-6.212698652117679,281,False
220000,0,-3.736522449883544,269,False
220000,0,-6.066116814023546,281,False
220000,0,-2.372307599493283,346,False
220000,0,-6.332589583003079,280,False
220000,0,-2.6562563647921724,269,False
220000,0,-2.589304213274414,269,False
220000,0,-3.7090780836453883,269,False
220000,0,-3.3088427426761555,346,False
220000,0,-2.9680138314218665,331,False
220000,0,-2.730048662221907,315,False
220000,0,-2.699333011136214,268,False
220000,0,-2.9691734001354075,349,False
220000,0,-2.692925070965827,268,False
