iteration,mean_reward,level
40000,-6.031193559999999,0
80000,-3.1107682999999997,0
160000,-2.55823588,0
200000,-2.55823588,0
280000,-2.55823588,0
320000,-2.55823588,0
400000,-2.55823588,0
440000,-2.55823588,0
480000,-2.55823588,1
560000,-2.3368308,1
600000,-0.7337726000000001,1
680000,-0.7337726000000001,1
720000,-0.7337726000000001,1
800000,-0.7337726000000001,1
840000,-0.30675275999999996,1
880000,0.94075754,1
960000,3.77128898,1
1000000,3.77128898,1
1080000,3.77128898,1
1120000,3.77128898,1
1200000,3.77128898,1
1240000,3.77128898,1
1280000,3.82224152,2
1360000,3.82224152,2
1400000,3.8853281000000006,2
1480000,3.8853281000000006,2
1520000,3.8853281000000006,2
1600000,3.8853281000000006,2
1640000,3.8853281000000006,2
1720000,3.8853281000000006,2
1760000,4.06051196,3
1800000,4.06051196,3
1880000,4.06051196,3
1920000,4.06051196,3
2000000,4.06051196,3
2040000,4.92439576,3
2120000,4.92439576,3
2160000,4.97839558,3
2200000,4.97839558,3
2280000,4.97839558,3
2320000,4.97839558,3
2400000,4.97839558,3
2440000,4.97839558,3
2520000,8.7169742,4
2560000,8.7169742,4
2600000,8.7169742,4
2680000,8.7169742,4
2720000,8.7169742,4
2800000,8.7169742,4
2840000,8.7169742,5
2920000,8.7169742,5
2960000,8.7169742,5
3000000,8.7169742,5
3080000,8.7169742,5
3120000,8.7169742,6
3200000,8.7169742,6
3240000,8.7169742,6
3320000,8.7169742,6
3360000,8.7169742,6
3440000,8.7169742,6
3480000,8.7169742,6
3520000,8.7169742,6
3600000,8.7169742,6
3640000,8.7169742,6
3720000,8.7169742,6
3760000,8.7169742,6
3840000,8.7169742,6
3880000,8.7169742,6
3920000,8.7169742,6
4000000,8.7169742,6
4040000,8.7169742,6
4120000,8.7169742,6
4160000,9.04695702,6
4240000,9.04695702,6
4280000,9.04695702,6
4320000,9.04695702,6
4400000,9.04695702,6
4440000,9.04695702,6
4520000,9.04695702,6
4560000,9.04695702,6
4640000,9.04695702,6
4680000,9.107438199999999,6
4720000,9.107438199999999,6
4800000,9.107438199999999,6
4840000,9.107438199999999,6
4920000,9.107438199999999,6
4960000,9.107438199999999,6
5040000,9.107438199999999,6
5080000,9.107438199999999,6
5160000,9.107438199999999,6
5200000,9.107438199999999,6
5240000,9.107438199999999,6
5320000,9.393015839999999,6
5360000,9.393015839999999,6
5440000,9.393015839999999,6
5480000,9.46368656,6
5560000,9.46368656,6
5600000,9.46368656,6
5640000,9.46368656,6
5720000,9.46368656,6
5760000,9.46368656,6
5840000,9.46368656,6
5880000,9.46368656,6
5960000,9.46368656,6
6000000,9.46368656,6
6040000,9.46368656,6
6120000,9.46368656,6
6160000,9.46368656,6
6240000,9.46368656,6
6280000,9.46368656,6
6360000,9.6784126,6
6400000,9.6784126,6
6440000,9.6784126,6
6520000,9.6784126,6
6560000,9.6784126,6
6640000,9.6784126,6
6680000,9.6784126,6
6760000,9.6784126,6
6800000,9.6784126,6
6880000,9.6784126,6
6920000,9.6784126,6
6960000,9.6784126,6
7040000,9.6784126,6
7080000,9.6784126,6
7160000,9.6784126,6
7200000,9.6784126,6
7280000,9.6784126,6
7320000,9.6784126,6
7360000,10.400423100000001,6
7440000,10.400423100000001,6
7480000,10.400423100000001,6
7560000,10.86984354,6
7600000,11.40301504,6
7680000,11.40301504,6
7720000,11.40301504,6
7760000,11.40301504,6
7840000,11.40301504,6
7880000,11.40301504,6
7960000,11.40301504,6
8000000,11.857010020000002,6
8080000,11.857010020000002,6
8120000,11.857010020000002,6
8200000,11.857010020000002,6
8240000,11.857010020000002,6
8280000,11.857010020000002,6
8360000,11.857010020000002,6
8400000,11.857010020000002,6
8480000,11.857010020000002,6
8520000,11.857010020000002,6
8600000,11.857010020000002,6
8640000,11.857010020000002,6
8680000,11.857010020000002,6
8760000,11.857010020000002,6
8800000,11.857010020000002,6
8880000,11.857010020000002,6
8920000,11.857010020000002,6
9000000,11.857010020000002,6
9040000,11.857010020000002,6
9080000,11.857010020000002,6
9160000,11.857010020000002,6
