iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-3.2090542592918028,232.2,0.0
100000,0,-2.4270772355578596,252.02,0.02
160000,0,-2.6453445912760407,251.96,0.0
220000,0,-2.656324955704439,249.84,0.0
280000,0,-2.324388888683545,255.42,0.0
340000,0,-2.6600353764228792,254.68,0.02
400000,0,-2.176554534457152,254.54,0.02
440000,0,-2.9097856804860758,248.58,0.0
500000,0,-2.2484831097211297,254.02,0.0
560000,0,-2.5520543378981775,252.0,0.0
620000,0,-2.0811089309994175,268.1,0.04
680000,0,-2.467677362820752,261.62,0.02
740000,0,4.4256582612216695,904.16,0.74
800000,0,9.516773679345247,761.4,1.0
