iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-5.184369227983958,272.66,0.0
100000,0,-7.29110538488816,317.46,0.0
160000,0,-7.592996036799417,378.7,0.0
220000,0,-7.340270255517194,432.1,0.0
280000,0,-2.6217102788407978,397.78,0.0
326720,1,-4.227144690477909,403.14,0.0
386720,1,-0.2184109656793799,470.7,0.12
441408,2,2.5838761195009723,537.4,0.28
498752,3,3.981326279380438,643.76,0.46
556096,4,-0.8497566537036423,438.36,0.04
616096,4,-1.2376259254840836,443.62,0.0
676096,4,-0.8672764909748903,434.0,0.02
736096,4,-0.7142317887303271,436.16,0.04
796096,4,-0.888072739641856,447.48,0.06
856096,4,0.5616127663111707,487.58,0.18
916096,4,-1.169679695957669,447.06,0.02
956096,4,-3.1403963786444784,487.66,0.06
1016096,4,-2.879072347338109,525.76,0.14
1076096,4,-3.2103526191386926,543.08,0.2
1136096,4,-6.268014019314883,508.54,0.04
1196096,4,-4.320640830226839,562.04,0.1
1256096,4,-0.14970621656099697,440.92,0.1
1316096,4,-1.1899139440360336,331.64,0.02
1376096,4,-2.003990195131585,412.3,0.04
1416096,4,-1.6694147153705867,464.06,0.02
1476096,4,1.4855871284113682,525.52,0.22
1536096,4,0.8114636660082839,506.22,0.16
1596096,4,1.0421266343180955,512.2,0.18
1656096,4,2.256482108230839,544.32,0.26
1716096,4,3.5874718809633395,650.0,0.44
1776096,4,1.3458251696888168,568.56,0.24
1816096,4,0.8793249700631433,514.16,0.16
1876096,4,1.3779776176451668,491.6,0.2
1936096,4,1.2168168213186994,451.64,0.22
1996096,4,0.018786240325004505,460.7,0.16
2056096,4,0.7975056478274603,488.54,0.28
2116096,4,-0.46688738021126086,433.26,0.08
2176096,4,-2.50034865075785,389.28,0.02
2236096,4,-2.4108560666089587,296.26,0.0
2276096,4,-1.8014535017952853,353.84,0.0
2336096,4,-1.3508547217482416,382.1,0.0
2396096,4,0.04501397999940881,385.74,0.06
2456096,4,-0.6871372002696714,366.58,0.0
2516096,4,-0.12009869903248774,388.02,0.04
2576096,4,-0.815155778287114,339.94,0.0
2636096,4,-0.9215904800732353,372.12,0.0
2676096,4,-0.814040186106658,347.96,0.02
2736096,4,-1.7330032709406327,346.5,0.0
2796096,4,-1.012388195326633,352.46,0.02
2856096,4,0.652974277247494,382.6,0.12
2916096,4,-0.8210020248478418,338.46,0.02
2976096,4,-0.7619925594565095,345.2,0.02
3036096,4,-0.7888312504649542,355.32,0.02
3096096,4,-0.5101700745700057,361.74,0.04
3136096,4,-0.8426140659501173,366.96,0.02
3196096,4,-0.36336140314209947,370.46,0.04
3256096,4,-1.3501290693923864,377.12,0.0
3316096,4,-1.0194253420417219,392.52,0.02
3376096,4,-1.3717857790672519,408.3,0.0
3436096,4,-0.21425145422711014,433.46,0.08
3496096,4,-0.5779233173441358,431.94,0.04
3536096,4,0.11334021505537749,416.12,0.06
3596096,4,-0.058443194057344126,406.6,0.06
3656096,4,-0.20864246594321906,383.0,0.08
3716096,4,-1.3563439962355899,373.1,0.0
3776096,4,-0.39212801632108557,412.1,0.04
3836096,4,-0.4188044769501962,404.24,0.04
3896096,4,-0.8101709865596157,398.86,0.02
3956096,4,-1.252164637612187,390.94,0.0
3996096,4,-0.41631576799062564,404.48,0.04
4056096,4,-0.7325724399422819,403.3,0.02
4116096,4,0.26655918315492805,421.24,0.08
4176096,4,-0.22905735805154862,415.36,0.06
4236096,4,-0.556557447977842,409.78,0.04
4296096,4,-0.7668821988384416,410.68,0.02
4356096,4,-0.6519464166490724,402.66,0.02
4396096,4,-0.8709960610962526,411.48,0.02
4456096,4,-0.9056357559125378,415.94,0.04
4516096,4,-0.8667001545350044,431.44,0.02
4576096,4,-0.4854418800922474,439.22,0.06
4636096,4,-1.4446148189645094,422.26,0.02
4696096,4,-1.548943579995458,415.86,0.0
4756096,4,-1.6116786473353204,410.82,0.02
4816096,4,-1.5813967648470222,422.26,0.0
4856096,4,-0.7285193666996697,426.3,0.08
4916096,4,-0.6555368207533728,437.68,0.06
4976096,4,-0.5403353567581423,429.46,0.06
5036096,4,-0.5133115775730039,441.44,0.08
5096096,4,-1.5203139637775032,435.4,0.02
5156096,4,-0.5053604757341956,441.38,0.1
5216096,4,-0.5583883005487337,445.28,0.08
5256096,4,-0.15199331606905817,439.5,0.08
5316096,4,-1.3779597758121735,435.16,0.02
5376096,4,-1.0468242628095035,438.2,0.04
5436096,4,-0.69979631562993,448.58,0.08
5496096,4,-0.9504005476859018,446.56,0.08
5556096,4,-0.4001701644357778,443.18,0.1
5616096,4,-0.4234512649468385,445.48,0.1
5676096,4,-0.5043478927669889,450.2,0.08
5716096,4,-1.230047835723723,436.44,0.04
5776096,4,-0.8580785031577912,439.72,0.08
5836096,4,0.8304629371685615,466.46,0.18
5896096,4,-0.2540007357634012,464.64,0.1
5956096,4,0.44231716358575474,457.38,0.12
6016096,4,-0.2806091886048374,448.98,0.06
6076096,4,-0.16629696897073315,449.12,0.12
6116096,4,-0.5925357207721439,450.66,0.1
6176096,4,-1.0492004867245286,438.64,0.1
6236096,4,-0.7374577189628496,439.4,0.06
