iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-4.685127261804325,238.32,0.0
100000,0,-7.756918300838964,330.92,0.0
160000,0,-6.973760942427622,433.64,0.0
220000,0,-1.6411033855339474,521.22,0.2
280000,0,-1.4509437283660214,497.08,0.06
340000,0,-0.44580140350960945,450.72,0.06
400000,0,0.7813644582203041,483.28,0.16
441408,1,1.1196705960882833,522.7,0.2
498752,2,-1.1234752426519592,622.52,0.18
558752,2,4.433200092928489,697.84,0.58
613440,3,4.395844194568462,626.86,0.46
673440,3,-0.7535811665148002,521.46,0.08
733440,3,2.5669450416794604,570.12,0.28
793440,3,5.0667120623826,673.5,0.56
842816,4,-0.42094055820253323,507.7,0.18
902816,4,-0.9455338406318025,414.12,0.1
962816,4,-0.8139977753834517,465.14,0.08
1022816,4,-0.7231054213788451,481.08,0.1
1082816,4,-2.057082552450786,488.3,0.02
1142816,4,-0.2316973072108117,490.18,0.08
1202816,4,3.054798724789915,582.3,0.34
1242816,4,5.108425601145627,699.84,0.56
1301568,5,3.8663981990901135,871.96,0.52
1361568,5,-2.6391640989990908,842.1,0.1
1421568,5,3.587946226621342,650.68,0.42
1481568,5,2.0937501475451943,621.12,0.3
1541568,5,2.227602792405912,593.92,0.3
1601568,5,3.6507770150788317,639.96,0.4
1661568,5,4.6982752226776805,747.52,0.52
1701568,5,-2.5823728384221236,1187.18,0.34
1761568,5,4.181314873340408,909.96,0.54
1821568,5,-8.220953501233863,1555.68,0.22
1881568,5,-1.0856081777651263,1273.42,0.48
1941568,5,-5.471551009694386,1686.96,0.44
2001568,5,7.904768787435496,1298.26,0.98
2047040,6,4.357781050734872,884.9,0.56
2107040,6,1.9790447391466606,915.96,0.54
2167040,6,3.120263352232668,693.44,0.4
2227040,6,9.157207811141673,987.6,0.98
2276416,7,8.509699720767472,1180.12,1.0
