iteration,level,test_reward,test_episode_length,test_successful
40000,0,-3.9358228618455335,226,False
40000,0,-3.7430794809536483,226,False
40000,0,-1.7779022216775064,226,False
40000,0,-0.7559425571233327,225,False
40000,0,-4.065249301737396,226,False
40000,0,-0.5406523892206856,225,False
40000,0,-0.5328293086220366,225,False
40000,0,-3.975019955284418,226,False
40000,0,-3.3539179437576427,226,False
40000,0,-2.1155935458718176,225,False
40000,0,-3.598895832765332,226,False
40000,0,-1.7524637377821226,226,False
40000,0,-2.004143679364684,225,False
40000,0,-1.1585998312852097,225,False
40000,0,-3.686928363459328,226,False
40000,0,-2.203813364559679,225,False
40000,0,-2.143750335286152,225,False
40000,0,-4.231310275176106,226,False
40000,0,-2.9706972298508743,226,False
40000,0,-3.896219665313793,226,False
80000,0,0.5848486610242432,235,False
80000,0,0.4855330202168652,242,False
80000,0,0.4213111781432992,235,False
80000,0,-0.17896424391629495,229,False
80000,0,-1.0083653332193332,235,False
80000,0,-0.6085062949629817,241,False
80000,0,-1.3656982244902864,229,False
80000,0,-0.6260983850743543,229,False
80000,0,0.04474225001203769,237,False
80000,0,-1.6685565108829015,229,False
80000,0,-0.4482352085831576,229,False
80000,0,-0.6778826568964939,240,False
80000,0,-0.32272201626333996,234,False
80000,0,0.41449588319519326,234,False
80000,0,-2.016268079440805,229,False
80000,0,-2.216646034361446,229,False
80000,0,-1.4545734746061245,233,False
80000,0,-1.5602356791244465,229,False
80000,0,0.0559516354113363,235,False
80000,0,-0.9049161553877014,236,False
160000,0,-0.04412777282465197,237,False
160000,0,0.21846886279388267,237,False
160000,0,0.11660710808046348,238,False
160000,0,-0.060230951478184136,237,False
160000,0,-0.14384839818582473,237,False
160000,0,-1.845701652874662,239,False
160000,0,0.2576540379780311,237,False
160000,0,0.7856851465927013,250,False
160000,0,-0.13706554462189513,237,False
160000,0,-1.9771051708415712,239,False
160000,0,0.22867800423789886,237,False
160000,0,1.2195487563047087,237,False
160000,0,-0.9971761193388238,240,False
160000,0,1.4071204926498995,239,False
160000,0,1.0538675987142343,238,False
160000,0,0.801679302511938,236,False
160000,0,-0.22569935114134054,237,False
160000,0,13.98371716977072,498,True
160000,0,14.425706701808554,406,True
160000,0,14.795274433953649,406,True
200000,0,0.8755969282047088,318,False
200000,0,1.076769002192657,317,False
200000,0,12.52766457763154,424,True
200000,0,13.547489881382448,413,True
200000,0,0.5406892536358334,316,False
200000,0,2.249388782622239,332,False
200000,0,12.598939914111021,423,True
200000,0,0.7943163794959103,318,False
200000,0,14.025997283387152,441,True
200000,0,13.560658014084304,418,True
200000,0,0.6561821027804038,315,False
200000,0,13.282070542637168,424,True
200000,0,16.607255771018263,537,True
200000,0,-0.23654365717416456,323,False
200000,0,12.478410990208637,476,True
200000,0,-0.3660992367029552,321,False
200000,0,0.9258465049730764,314,False
200000,0,0.3689220513927316,316,False
200000,0,16.87291606403278,517,True
200000,0,16.58006782292776,534,True
280000,0,13.791798451245848,560,True
280000,0,0.698653779352701,426,False
280000,0,14.089475620062693,624,True
280000,0,15.522774012759175,629,True
280000,0,14.00267360706711,611,True
280000,0,-0.48238479229162823,426,False
280000,0,14.186183612131437,559,True
280000,0,13.72878215786529,579,True
280000,0,15.523719789058191,533,True
280000,0,-1.143938972739233,431,False
280000,0,1.7107244723286934,582,False
280000,0,-0.8649109806441184,429,False
280000,0,0.324507874767238,447,False
280000,0,-1.521825508183134,436,False
280000,0,15.514366930921307,620,True
280000,0,15.377570665736936,538,True
280000,0,0.3307808336721979,424,False
280000,0,14.183904471039828,603,True
280000,0,0.13462447916869857,446,False
280000,0,-1.380653482570955,435,False
320000,0,-2.1538994668041482,351,False
320000,0,-2.7869632656724876,291,False
320000,0,-2.2609060827314877,296,False
320000,0,-3.259709027673991,262,False
320000,0,-1.95597942883307,298,False
320000,0,-3.3896543251180806,265,False
320000,0,-2.479468863801068,284,False
320000,0,-2.895351733943117,278,False
320000,0,-3.630682798394808,265,False
320000,0,-3.087489395258333,270,False
320000,0,-2.757412097181436,277,False
320000,0,-3.5425664787899533,268,False
320000,0,-3.521296543215822,266,False
320000,0,-3.5608285036669254,273,False
320000,0,-2.1781250714593434,387,False
320000,0,-2.1112234026318726,333,False
320000,0,-3.7795333555882444,279,False
320000,0,-2.7897811726605326,265,False
320000,0,-2.617532209845993,272,False
320000,0,-2.5773125359156968,286,False
400000,0,-4.489157180273717,641,False
400000,0,-5.560564327214757,665,False
400000,0,-5.324956298901466,651,False
400000,0,-4.863713188740583,771,False
400000,0,-4.647618283484319,958,False
400000,0,-5.15089019128225,642,False
