iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-2.622141594046865,225.6,0.0
80000,0,-0.6525392834603345,233.45,0.0
160000,0,2.1931526327044866,268.1,0.15
200000,0,7.448326948642075,389.85,0.5
280000,0,7.186341351037415,516.9,0.5
320000,0,-2.86678578795932,288.3,0.0
400000,0,-4.875735738579854,721.45,0.0
440000,0,-0.0848879337039419,898.05,0.3
480000,0,-4.3325766244751645,603.2,0.0
560000,0,-2.6186055670362998,971.15,0.15
600000,0,12.216592363946393,476.0,0.9
670784,1,5.648978908650083,453.7,0.5
710784,1,12.494282984565587,521.15,1.0
790784,1,9.286521299905495,412.35,0.65
