iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-1.7214156775519276,344.0,0.0
100000,0,-1.2300855014023215,228.0,0.0
160000,0,-1.2300855014023215,228.0,0.0
220000,0,-1.2300855014023215,228.0,0.0
280000,0,-1.2300855014023215,228.0,0.0
340000,0,-1.2300855014023215,228.0,0.0
400000,0,-1.2300855014023215,228.0,0.0
440000,0,-1.2300855014023215,228.0,0.0
500000,0,-1.2300855014023215,228.0,0.0
560000,0,-1.2208934620822232,228.0,0.0
620000,0,-1.2208934620822232,228.0,0.0
680000,0,-1.2208934620822232,228.0,0.0
740000,0,-1.2208934620822232,228.0,0.0
800000,0,-1.2208934620822232,228.0,0.0
860000,0,-1.2208934620822232,228.0,0.0
900000,0,-1.2208934620822232,228.0,0.0
960000,0,-1.2208934620822232,228.0,0.0
1020000,0,-1.2208934620822232,228.0,0.0
1080000,0,-1.2208934620822232,228.0,0.0
1140000,0,-1.2208934620822232,228.0,0.0
1200000,0,-1.2208934620822232,228.0,0.0
1260000,0,-1.2208934620822232,228.0,0.0
1300000,0,-1.2208934620822232,228.0,0.0
1360000,0,-1.2208934620822232,228.0,0.0
1420000,0,-1.2208934620822232,228.0,0.0
1480000,0,-1.2208934620822232,228.0,0.0
1540000,0,-1.2208934620822232,228.0,0.0
1600000,0,-1.2208934620822232,228.0,0.0
1660000,0,-1.2093389590883794,245.0,0.0
1720000,0,-1.2093389590883794,245.0,0.0
1760000,0,-1.2093389590883794,245.0,0.0
1820000,0,-1.2093389590883794,245.0,0.0
1880000,0,-1.2093389590883794,245.0,0.0
1940000,0,-1.2093389590883794,245.0,0.0
2000000,0,-1.2093389590883794,245.0,0.0
2060000,0,-1.2093389590883794,245.0,0.0
2120000,0,-1.2093389590883794,245.0,0.0
2160000,0,-1.2093389590883794,245.0,0.0
2220000,0,-1.2093389590883794,245.0,0.0
2280000,0,-1.2093389590883794,245.0,0.0
2340000,0,-1.2093389590883794,245.0,0.0
2400000,0,-1.2093389590883794,245.0,0.0
2460000,0,-1.2093389590883794,245.0,0.0
2520000,0,-1.2093389590883794,245.0,0.0
2580000,0,-1.2093389590883794,245.0,0.0
2620000,0,-1.2093389590883794,245.0,0.0
2680000,0,-1.2093389590883794,245.0,0.0
2740000,0,-0.8359076406653269,228.0,0.0
2800000,0,-0.8359076406653269,228.0,0.0
2860000,0,-0.8359076406653269,228.0,0.0
2920000,0,-0.8359076406653269,228.0,0.0
2980000,0,-0.8359076406653269,228.0,0.0
3020000,0,-0.8359076406653269,228.0,0.0
3080000,0,-0.8359076406653269,228.0,0.0
3140000,0,-0.8359076406653269,228.0,0.0
3200000,0,-0.8359076406653269,228.0,0.0
3260000,0,-0.8359076406653269,228.0,0.0
3320000,0,-0.8359076406653269,228.0,0.0
3380000,0,-0.8359076406653269,228.0,0.0
3440000,0,-0.8359076406653269,228.0,0.0
3480000,0,-0.8359076406653269,228.0,0.0
3540000,0,-0.8359076406653269,228.0,0.0
3600000,0,-0.8359076406653269,228.0,0.0
3660000,0,-0.8359076406653269,228.0,0.0
3720000,0,-0.8359076406653269,228.0,0.0
3780000,0,-0.8359076406653269,228.0,0.0
3840000,0,-0.8359076406653269,228.0,0.0
3880000,0,-0.8359076406653269,228.0,0.0
3940000,0,-0.8359076406653269,228.0,0.0
4000000,0,-0.8359076406653269,228.0,0.0
4060000,0,-0.8359076406653269,228.0,0.0
4120000,0,-0.8359076406653269,228.0,0.0
4180000,0,-0.8359076406653269,228.0,0.0
4240000,0,-0.8359076406653269,228.0,0.0
4300000,0,-0.8359076406653269,228.0,0.0
4340000,0,-0.8359076406653269,228.0,0.0
4400000,0,-0.8359076406653269,228.0,0.0
4460000,0,-0.8359076406653269,228.0,0.0
4520000,0,-0.8359076406653269,228.0,0.0
4580000,0,-0.8359076406653269,228.0,0.0
4640000,0,-0.8359076406653269,228.0,0.0
4700000,0,-0.8359076406653269,228.0,0.0
4740000,0,-0.8359076406653269,228.0,0.0
4800000,0,-0.8359076406653269,228.0,0.0
4860000,0,-0.8359076406653269,228.0,0.0
4920000,0,-0.8359076406653269,228.0,0.0
4980000,0,-0.8359076406653269,228.0,0.0
5040000,0,-0.8359076406653269,228.0,0.0
5100000,0,-0.8359076406653269,228.0,0.0
5160000,0,-0.8359076406653269,228.0,0.0
5200000,0,-0.8359076406653269,228.0,0.0
5260000,0,-0.8359076406653269,228.0,0.0
5320000,0,-0.8359076406653269,228.0,0.0
5380000,0,-0.8359076406653269,228.0,0.0
5440000,0,-0.8359076406653269,228.0,0.0
5500000,0,-0.8359076406653269,228.0,0.0
5560000,0,-0.8359076406653269,228.0,0.0
5600000,0,-0.8359076406653269,228.0,0.0
5660000,0,-0.8359076406653269,228.0,0.0
5720000,0,-0.8359076406653269,228.0,0.0
5780000,0,-0.8359076406653269,228.0,0.0
5840000,0,-0.8359076406653269,228.0,0.0
5900000,0,-0.8359076406653269,228.0,0.0
5960000,0,-0.8359076406653269,228.0,0.0
6020000,0,-0.8359076406653269,228.0,0.0
6060000,0,-0.8359076406653269,228.0,0.0
6120000,0,-0.8359076406653269,228.0,0.0
6180000,0,-0.8359076406653269,228.0,0.0
6240000,0,-0.8359076406653269,228.0,0.0
6300000,0,-0.8359076406653269,228.0,0.0
6360000,0,-0.8359076406653269,228.0,0.0
6420000,0,-0.8359076406653269,228.0,0.0
6460000,0,-0.8359076406653269,228.0,0.0
6520000,0,-0.8359076406653269,228.0,0.0
6580000,0,-0.8359076406653269,228.0,0.0
6640000,0,-0.8359076406653269,228.0,0.0
6700000,0,-0.8359076406653269,228.0,0.0
6760000,0,-0.8359076406653269,228.0,0.0
6820000,0,-0.8359076406653269,228.0,0.0
6880000,0,-0.8359076406653269,228.0,0.0
6920000,0,-0.8359076406653269,228.0,0.0
6980000,0,-0.8359076406653269,228.0,0.0
7040000,0,-0.8359076406653269,228.0,0.0
7100000,0,-0.8359076406653269,228.0,0.0
7160000,0,-0.8359076406653269,228.0,0.0
7220000,0,-0.8359076406653269,228.0,0.0
7280000,0,-0.8359076406653269,228.0,0.0
7340000,0,-0.8359076406653269,228.0,0.0
7380000,0,-0.8359076406653269,228.0,0.0
7440000,0,-0.8359076406653269,228.0,0.0
7500000,0,-0.8359076406653269,228.0,0.0
7560000,0,-0.8359076406653269,228.0,0.0
7620000,0,-0.8359076406653269,228.0,0.0
7680000,0,-0.8359076406653269,228.0,0.0
