iteration,level,test_reward,test_episode_length,test_successful
824064,3,-0.14687042696625607,613,False
824064,3,11.224205726458544,666,True
824064,3,-0.256880914583974,612,False
824064,3,-0.13904258507753917,613,False
824064,3,10.876662779251513,687,True
824064,3,11.161224027302469,700,True
824064,3,0.24262580067012873,551,False
824064,3,-0.17859090802027755,612,False
824064,3,-0.2531200339377863,760,False
824064,3,11.06740057410102,697,True
824064,3,10.71641881360978,806,True
824064,3,-0.14101671734487026,618,False
824064,3,10.904347371099098,688,True
824064,3,0.11250657089984027,628,False
824064,3,0.1424314054420449,654,False
824064,3,0.23509984987187568,563,False
824064,3,0.21094827309985753,560,False
824064,3,10.708367257564156,688,True
824064,3,10.964649009090952,672,True
824064,3,10.749178046906403,791,True
884064,3,-6.64758383021502,2000,False
884064,3,-8.904028890597882,1778,False
884064,3,-9.778688907926547,1895,False
884064,3,-9.851349478943554,1900,False
884064,3,-7.108252891651693,2000,False
884064,3,-6.884456798602542,2000,False
884064,3,-4.245498813016859,502,False
884064,3,-9.622856050223138,1884,False
884064,3,-6.531031942594816,2000,False
884064,3,-7.086022944539732,1190,False
884064,3,-7.069369585869316,2000,False
884064,3,-6.426870905621114,1081,False
884064,3,-7.200066242759466,2000,False
884064,3,-7.5856375177567825,1321,False
884064,3,-6.927206071533167,2000,False
884064,3,-7.085141620345811,2000,False
884064,3,-6.77337357540716,2000,False
884064,3,-7.1095753073773755,2000,False
884064,3,-7.72246036505177,1375,False
884064,3,-7.18079175190195,2000,False
944064,3,0.18951846226560426,609,False
944064,3,-0.07838280463095129,695,False
944064,3,-0.09424239852624736,589,False
944064,3,0.37050602138991384,555,False
944064,3,0.0006388752152068633,644,False
944064,3,0.009509792415224774,576,False
944064,3,0.10468237510693341,594,False
944064,3,0.1300124943585031,604,False
944064,3,0.029142494741568326,643,False
944064,3,11.106378335238388,684,True
944064,3,0.3557499572836152,565,False
944064,3,0.06690935229972128,614,False
944064,3,-0.08346340730961277,587,False
944064,3,0.024219338541563273,589,False
944064,3,0.3945662024035515,553,False
944064,3,0.16708054413582724,577,False
944064,3,10.854410026517591,658,True
944064,3,-0.0021156223875596486,663,False
944064,3,-0.08457635911650839,585,False
944064,3,11.108955325476026,696,True
1004064,3,10.584286190530491,855,True
1004064,3,10.500129532023237,774,True
1004064,3,-0.2674702191075782,674,False
1004064,3,-0.411966895383063,800,False
1004064,3,10.127414202989023,958,True
1004064,3,-0.5034428440823342,702,False
1004064,3,10.960970795130741,708,True
1004064,3,10.824222871353456,743,True
1004064,3,-0.26418191765004057,785,False
1004064,3,-0.2784995072023354,736,False
1004064,3,10.383126721116007,766,True
1004064,3,10.59272179211961,864,True
1004064,3,-0.569138614397289,699,False
1004064,3,-0.5336540817951511,712,False
1004064,3,-0.2820923453774639,654,False
1004064,3,11.375329763904363,677,True
1004064,3,10.407819462497248,768,True
1004064,3,10.56760238504947,860,True
1004064,3,9.931662354697517,703,True
1004064,3,11.162621565314856,700,True
1064064,3,10.559245690779107,749,True
1064064,3,10.791296344642078,819,True
1064064,3,10.623730994713183,738,True
1064064,3,11.169564210415423,665,True
1064064,3,11.110093205158556,697,True
1064064,3,10.57990092379698,765,True
1064064,3,10.743839777957986,846,True
1064064,3,10.6341111905985,819,True
1064064,3,10.717568339395179,841,True
1064064,3,11.081714155855334,700,True
1064064,3,10.600796793761651,782,True
1064064,3,10.738202122170282,807,True
1064064,3,11.214119833392177,701,True
1064064,3,10.78133581719037,872,True
1064064,3,-0.043434746280316266,598,False
1064064,3,10.656296955655922,758,True
1064064,3,10.482940124608886,906,True
1064064,3,0.16624846918304229,655,False
1064064,3,11.006759714408428,727,True
1064064,3,10.617410856339587,809,True
1124064,3,10.567425808714084,600,True
1124064,3,10.907664792882352,648,True
1124064,3,10.766174838191628,651,True
1124064,3,10.909180004980474,704,True
1124064,3,11.488463351133172,626,True
1124064,3,11.300866949531361,635,True
1124064,3,10.034178475214878,945,True
1124064,3,10.911569683278918,753,True
1124064,3,10.811188404270315,649,True
1124064,3,11.359479496100828,621,True
1124064,3,10.805978339324115,743,True
1124064,3,10.941363530859869,648,True
1124064,3,11.06065432771444,646,True
1124064,3,10.894154100943986,768,True
1124064,3,10.83994346513277,757,True
1124064,3,11.55909359997155,593,True
1124064,3,10.578080923621645,818,True
1124064,3,10.772780952634271,756,True
1124064,3,10.98372139341982,766,True
1124064,3,11.45104052623532,570,True
